time(h:m:s),Satellites,Latitude,Longitude,Altitude,Time,Course,Speed,azimuth(calib&flt)
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,97.8169
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,98.8147
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,99.4245
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,99.4245
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,102.034
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,102.929
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,104.199
23:58:25,15,35.643385,139.5236017,33.7,1605679917,156.63,0.417,104.436
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,105.373
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,105.599
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,105.907
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,106.259
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,107.276
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,107.864
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,107.896
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,108.557
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,110.383
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,110.989
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.154
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.279
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.399
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.079
23:58:25,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.047
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,110.926
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.923
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.74
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.561
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.473
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.438
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.438
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.438
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.438
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.663
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.663
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.663
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.663
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.438
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.438
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.211
23:58:26,15,35.6433817,139.5236017,33.7,1605679918,155.98,0.406,111.211
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,110.698
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,110.552
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.854
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,110.02
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,110.037
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.318
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.318
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.325
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,108.835
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,108.589
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,108.67
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,108.668
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,108.668
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,108.668
23:58:26,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,108.668
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,108.918
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,108.918
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,108.918
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.168
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.417
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.417
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.332
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.826
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.984
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,109.984
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,110.228
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,110.714
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,110.866
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,112.766
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,113.136
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,113.173
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,113.077
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,112.201
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,112.332
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,112.55
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,112.375
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,112.416
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,112.33
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,112.201
23:58:27,15,35.6433833,139.523595,33.7,1605679919,188.64,0.381,112.411
23:58:27,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.411
23:58:27,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.243
23:58:27,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.243
23:58:27,15,35.64339,139.523595,33.7,1605679920,201.4,0.298,112.243
